#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments
77488;13:53:26;IRP_MJ_WRITE;UP;STATUS_SUCCESS;4e 36 ba 35 24 16 52 46 75 ba 30 21 e9 b1 46 3e ba 92 99 c8 e0 8e 92 7b e2 d0 d7 85 b2 b4 6d c1 e5 c1 a6 87 a2 4e f4 f3 e2 93 91 81 7b e2 d0 d7 85 b2 b4 6d c1 e5 c1 a6 87 a2 4e 89 eb ff 92 90 87 06 e5 cd ab 80 ab c9 6a df 9e d8 b5 fb a7 56 f2 94 ab 90 86 a6 7b 8a f6 d2 ea 8e 9e 51 de cc fc b9 95 a8 5d e0 ff f7 8b 98 96 63 eb c7 cf 8c a5 ac 64 d6 fd c8 b1 9f ab 59 ec fa f5 ec 8b aa c0 4a 81 33 59 77 54 bd 1b 05 11 7c 67 72 94 14 23 38 73 41 5b 9b 32 0a 37 55 68 54 bd 1b 05 11 7c 67 72 94 14 23 38 73 41 5b 9b 32 0a 37 55 68 54 bd 1b 02 1b 61 6b 61 83 19 37 2e 7d 51 4e 94 20 1e 3a 41 7e 59 ae 0c 12 2c 1e ca d8 00 82 e1 c3 93 80 b9 79 fd e9 d5 9a 8b b6 72 f8 e7 de 9f 85 bd 74 f6 ec d8 90 8e bb 6c e9 c0 ff bb af 9c 53 dc ;N6º5$.RFuº0!é±F>º’™ÈàŽ’{âÐ×…²´mÁåÁ¦‡¢Nôóâ“‘{âÐ×…²´mÁåÁ¦‡¢N‰ëÿ’‡.åÍ«€«ÉjßžØµû§Vò”«†¦{ŠöÒêŽžQÞÌü¹•¨]àÿ÷‹˜–cëÇÏŒ¥¬dÖýÈ±Ÿ«Yìúõì‹ªÀJ3YwT½...|gr”.#8sA[›2.7UhT½...|gr”.#8sA[›2.7UhT½...akaƒ.7.}QN” .:A~Y®..,.ÊØ.‚áÃ“€¹yýéÕš‹¶røçÞŸ…½töìØŽ»léÀÿ»¯œSÜ;242;;COM7;
77491;13:53:26;IRP_MJ_WRITE;DOWN;;55 aa 5a ee 00 ;UªZî.;5;5;COM7;
77492;13:53:26;IRP_MJ_WRITE;UP;STATUS_SUCCESS;55 aa 5a ee 00 ;UªZî.;5;;COM7;
77493;13:53:26;IRP_MJ_WRITE;DOWN;;a9 32 62 88 b5 62 8d b0 9d 6b b5 29 88 12 df 56 07 aa 6f 74 b5 7c 74 b5 7c 74 b5 7c 74 b5 7c 74 b5 7c 74 b5 7c 74 b5 7c 74 b5 7c 74 b5 7c 74 b5 7c 74 b5 7c 74 b5 7c 09 ad 61 75 b4 7a 09 b2 61 08 b0 65 09 b2 62 0f ac 6f 08 b0 64 72 d2 35 77 a2 5b 74 dd 5a 71 da 40 5e 89 63 5d 88 63 66 bf 6f 60 b9 69 6c bc 6b 6c bc 6b 6c bc 6b 6c bc 6b 6c bc 6b 6c bc 6b 6c bc 6b 0b af 57 cf 1d 2d 90 69 b9 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 93 6f bb 98 76 b1 99 71 b0 9a 75 b3 9b 77 b2 99 71 b0 99 76 b1 83 58 c4 39 cf 32 02 a7 5d 74 a4 44 76 aa 45 76 aa 45 76 aa 45 76 aa 45 76 aa 46 76 aa 46 77 aa 46 63 be 6c 5c 8b 61 5c 8b 61 ;©2bˆµb°kµ)ˆ.ßV.ªotµ|tµ|tµ|tµ|tµ|tµ|tµ|tµ|tµ|tµ|tµ|tµ|.­au´z.²a.°e.²b.¬o.°drÒ5w¢[tÝZqÚ@^‰c]ˆcf¿o`¹il¼kl¼kl¼kl¼kl¼kl¼kl¼k.¯WÏ.-i¹”e¦”e¦”e¦”e¦”e¦”e¦”e¦”e¦”e¦”e¦”e¦”e¦”e¦”e¦”e¦“o»˜v±™q°šu³›w²™q°™v±ƒXÄ9Ï2.§]t¤DvªEvªEvªEvªEvªFvªFwªFc¾l\‹a\‹a;238;238;COM7;
77494;13:53:26;IRP_MJ_WRITE;UP;STATUS_SUCCESS;a9 32 62 88 b5 62 8d b0 9d 6b b5 29 88 12 df 56 07 aa 6f 74 b5 7c 74 b5 7c 74 b5 7c 74 b5 7c 74 b5 7c 74 b5 7c 74 b5 7c 74 b5 7c 74 b5 7c 74 b5 7c 74 b5 7c 74 b5 7c 09 ad 61 75 b4 7a 09 b2 61 08 b0 65 09 b2 62 0f ac 6f 08 b0 64 72 d2 35 77 a2 5b 74 dd 5a 71 da 40 5e 89 63 5d 88 63 66 bf 6f 60 b9 69 6c bc 6b 6c bc 6b 6c bc 6b 6c bc 6b 6c bc 6b 6c bc 6b 6c bc 6b 0b af 57 cf 1d 2d 90 69 b9 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 94 65 a6 93 6f bb 98 76 b1 99 71 b0 9a 75 b3 9b 77 b2 99 71 b0 99 76 b1 83 58 c4 39 cf 32 02 a7 5d 74 a4 44 76 aa 45 76 aa 45 76 aa 45 76 aa 45 76 aa 46 76 aa 46 77 aa 46 63 be 6c 5c 8b 61 5c 8b 61 ;©2bˆµb°kµ)ˆ.ßV.ªotµ|tµ|tµ|tµ|tµ|tµ|tµ|tµ|tµ|tµ|tµ|tµ|.­au´z.²a.°e.²b.¬o.°drÒ5w¢[tÝZqÚ@^‰c]ˆcf¿o`¹il¼kl¼kl¼kl¼kl¼kl¼kl¼k.¯WÏ.-i¹”e¦”e¦”e¦”e¦”e¦”e¦”e¦”e¦”e¦”e¦”e¦”e¦”e¦”e¦”e¦“o»˜v±™q°šu³›w²™q°™v±ƒXÄ9Ï2.§]t¤DvªEvªEvªEvªEvªFvªFwªFc¾l\‹a\‹a;238;;COM7;
77501;13:53:26;IRP_MJ_WRITE;DOWN;;55 aa 5a ef 00 ;UªZï.;5;5;COM7;
77502;13:53:26;IRP_MJ_WRITE;UP;STATUS_SUCCESS;55 aa 5a ef 00 ;UªZï.;5;;COM7;
77503;13:53:26;IRP_MJ_WRITE;DOWN;;b5 35 a4 bb 84 44 a4 be 81 bb 47 bb cf 44 03 06 5a f6 6c 5c 45 93 50 7a 53 b0 65 6c 70 85 73 4f 45 93 50 7a 53 b0 65 6c 70 85 73 4f 45 93 50 7a 53 b0 65 6c 70 85 73 4f 38 8b 4d 7b 52 b6 18 6b 6d f9 76 56 38 94 4e 01 4a a3 19 69 68 83 14 06 46 84 77 7a 3b 96 60 03 4c af 4f 50 6c ae 4f 68 59 a3 71 60 65 9d 7a 58 5d 9a 47 62 5a a7 7d 65 67 9d 7a 58 5d 9a 47 62 5a a7 1a 76 5b 3e db 1e a1 4f 95 9a 83 6a 85 bc aa 65 a3 95 a5 43 8a 9a 83 6a 85 bc aa 65 a3 95 a5 43 8a 9a 83 6a 85 bc aa 65 a3 95 a5 43 8a 9a 83 6a 85 bc aa 65 a3 95 a2 49 97 96 90 7d 88 a8 bc 6b b3 80 aa 51 9e 97 97 7c 88 af bd 72 9e f7 08 e9 1e 0c 41 91 65 7d 48 87 6c 76 47 8c 69 78 4c 89 67 73 49 87 6c 75 47 8c 6a 79 4c 8a 72 67 60 ad 4d 52 6d ad 4d ;"µ5¤»„D¤¾»G»ÏD..Zöl\E“PzS°elp…sOE“PzS°elp…sOE“PzS°elp…sO8‹M{R¶.kmùvV8”N.J£.ihƒ..F„wz;–`.L¯OPl®OhY£q`ezX]šGbZ§}egzX]šGbZ§.v[>Û.¡O•šƒj…¼ªe£•¥CŠšƒj…¼ªe£•¥CŠšƒj…¼ªe£•¥CŠšƒj…¼ªe£•¢I—–}ˆ¨¼k³€ªQž——|ˆ¯½rž÷.é..A‘e}H‡lvGŒixL‰gsI‡luGŒjyLŠrg`­MRm­M";239;239;COM7;
77504;13:53:26;IRP_MJ_WRITE;UP;STATUS_SUCCESS;b5 35 a4 bb 84 44 a4 be 81 bb 47 bb cf 44 03 06 5a f6 6c 5c 45 93 50 7a 53 b0 65 6c 70 85 73 4f 45 93 50 7a 53 b0 65 6c 70 85 73 4f 45 93 50 7a 53 b0 65 6c 70 85 73 4f 38 8b 4d 7b 52 b6 18 6b 6d f9 76 56 38 94 4e 01 4a a3 19 69 68 83 14 06 46 84 77 7a 3b 96 60 03 4c af 4f 50 6c ae 4f 68 59 a3 71 60 65 9d 7a 58 5d 9a 47 62 5a a7 7d 65 67 9d 7a 58 5d 9a 47 62 5a a7 1a 76 5b 3e db 1e a1 4f 95 9a 83 6a 85 bc aa 65 a3 95 a5 43 8a 9a 83 6a 85 bc aa 65 a3 95 a5 43 8a 9a 83 6a 85 bc aa 65 a3 95 a5 43 8a 9a 83 6a 85 bc aa 65 a3 95 a2 49 97 96 90 7d 88 a8 bc 6b b3 80 aa 51 9e 97 97 7c 88 af bd 72 9e f7 08 e9 1e 0c 41 91 65 7d 48 87 6c 76 47 8c 69 78 4c 89 67 73 49 87 6c 75 47 8c 6a 79 4c 8a 72 67 60 ad 4d 52 6d ad 4d ;"µ5¤»„D¤¾»G»ÏD..Zöl\E“PzS°elp…sOE“PzS°elp…sOE“PzS°elp…sO8‹M{R¶.kmùvV8”N.J£.ihƒ..F„wz;–`.L¯OPl®OhY£q`ezX]šGbZ§}egzX]šGbZ§.v[>Û.¡O•šƒj…¼ªe£•¥CŠšƒj…¼ªe£•¥CŠšƒj…¼ªe£•¥CŠšƒj…¼ªe£•¢I—–}ˆ¨¼k³€ªQž——|ˆ¯½rž÷.é..A‘e}H‡lvGŒixL‰gsI‡luGŒjyLŠrg`­MRm­M";239;;COM7;
77507;13:53:26;IRP_MJ_WRITE;DOWN;;55 aa 5a ee 00 ;UªZî.;5;5;COM7;
